Designator,Footprint,Quantity,Value,LCSC Part #
48 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal,
"C1, C2",0603,2,10uF,
"C10, C13, C14, C15, C16, C17, C18, C19, C20, C5, C7, C8, C9",0402,13,100nF,
C11,0402,1,18pF,
"C12, C4",0402,2,1nF,
"C21, C23",0402,2,10pF,
C22,0402,1,47pF,
C24,0402,1,0.5pF,
C3,0402,1,27pF,
D1,0603,1,RED,
D2,0603,1,GREEN,
D3,0603,1,BLUE,
J1,USB_A_TE_292303-7_Horizontal,1,USB_A,
J2,SMA_Molex_73251-1153_EdgeMount_Horizontal,1,SMA,
J3,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
J4,PinHeader_1x05_P2.54mm_Vertical,1,GPIO,
J5,PinHeader_2x05_P2.54mm_Vertical,1,CC Debug,
L1,0402,1,1.5nH,
R1,0603,1,1.5k,
"R2, R3",0603,2,33R,
R4,0402,1,1kR,
R5,0805,1,56kR,
R6,0402,1,4.3kR,
"R7, R8, R9",0402,3,100R,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,
U1,SOT-89-3,1,AP130-33Y,
U2,RHA40_4P5X4P5,1,CC8521RHAT,
U3,RGV0016A,1,CC2590RGVR,
